index,kind,name,codepoint,ink,light,sig
606,symbol,MicError,U+EC56,277,336,feffc7444444447c
607,symbol,PlaybackRate1x,U+EC57,254,300,4b39f9f9390b87fe
608,symbol,CashDrawer,U+EC59,470,552,ffffffffff0383fe
609,symbol,BarcodeScanner,U+EC5A,340,397,60b8b8befe7ffe7e
610,symbol,ReceiptPrinter,U+EC5B,289,319,010707ffc4c4fcfc
611,symbol,MagStripeReader,U+EC5C,309,373,3f0707fd87ffff00
612,symbol,CompletedSolid,U+EC61,851,860,fffffffffffffffe
613,symbol,Favicon2,U+EC6C,350,440,01ffff01fdfdffff
614,symbol,MicOn,U+EC71,635,657,feffff7c7c7c7c7c
615,symbol,MicClipping,U+EC72,596,636,feffff7c7dff7eff
616,symbol,DeveloperTools,U+EC7A,397,436,fcfcfc5c5c5efefe
617,symbol,BodyCam,U+EC80,281,352,1d3f63633f1dff00
618,symbol,PoliceCar,U+EC81,407,493,fdffc5ff03fffefe
619,symbol,Draw,U+EC87,185,226,1b3e7cf8f0e0c080
620,symbol,DrawSolid,U+EC88,285,307,1f3e3c78f0e08000
621,symbol,LowerBrightness,U+EC8A,214,272,d67c6cc77cfe9210
622,symbol,ScrollUpDown,U+EC8F,116,192,cc86000086cc7830
623,symbol,Uninstall,U+EC91,182,212,ccccccccfc000000
624,symbol,DateTime,U+EC92,478,574,dffffffdffffffff
625,symbol,HoloLens,U+EC94,312,376,eeff3fffb1fffe00
626,symbol,Tiles,U+ECA5,434,472,ff1dffffffe1ff00
627,symbol,Calories,U+ECAD,203,246,82030e9ecccc6878
628,symbol,Unit,U+ECC6,249,272,336bce9c7830e0c0
629,symbol,AddTo,U+ECC8,229,287,83337d7d3383fe78
630,symbol,RemoveFrom,U+ECC9,187,251,83037d7d0383fe78
631,symbol,RadioBtnOff,U+ECCA,133,161,03010101010387fe
632,symbol,RadioBtnOn,U+ECCB,701,759,fffffffffffffffe
633,symbol,RadioBullet2,U+ECCC,568,598,fcfefefefefc7800
634,symbol,ExploreContent,U+ECCD,327,347,11117d111101ffff
635,symbol,Blocked2,U+ECE4,216,245,830101ff010183fe
636,symbol,ScrollMode,U+ECE7,80,99,0000303000007c38
637,symbol,ZoomMode,U+ECE8,116,118,7800303000307830
638,symbol,PanMode,U+ECE9,136,173,0083333383007c38
639,symbol,WiredUSB,U+ECF0,319,351,fec6c6c6fefe7c7c
640,symbol,WirelessUSB,U+ECF1,327,386,7cfcfec6fefe7c7c
641,symbol,ResetDevice,U+ED10,280,346,3e2f6d6e3f1f1bf8
642,symbol,QRCode,U+ED14,490,571,ffffffffffffffff
643,symbol,Feedback,U+ED15,288,335,77fef2f33e1c04fc
644,symbol,Subtitles,U+ED1E,380,497,ffffffff0101ffff
645,symbol,SubtitlesAudio,U+ED1F,356,482,ffff7fff0101ffff
646,symbol,OpenFolderHorizontal,U+ED25,248,325,810303fffdf9ff00
647,symbol,Headphone0,U+ED30,143,165,001d1d190f0f0000
648,symbol,Headphone1,U+ED31,0,0,0000000000000000
649,symbol,Headphone2,U+ED32,0,0,0000000000000000
650,symbol,Headphone3,U+ED33,0,0,0000000000000000
651,symbol,Apps,U+ED35,0,0,0000000000000000
652,symbol,KeyboardBrightness,U+ED39,0,0,0000000000000000
653,symbol,SkipBack10,U+ED3C,0,0,0000000000000000
654,symbol,SkipForward30,U+ED3D,0,0,0000000000000000
655,symbol,Narrator,U+ED4D,0,0,0000000000000000
656,symbol,EmojiTabPeople,U+ED53,0,0,0000000000000000
657,symbol,EmojiTabSmilesAnimals,U+ED54,0,0,0000000000000000
658,symbol,EmojiTabCelebrationObjects,U+ED55,0,0,0000000000000000
659,symbol,EmojiTabFoodPlants,U+ED56,0,0,0000000000000000
660,symbol,EmojiTabTransitPlaces,U+ED57,0,0,0000000000000000
661,symbol,EmojiTabSymbols,U+ED58,0,0,0000000000000000
662,symbol,ConnectApp,U+ED5C,0,0,0000000000000000
663,symbol,Ruler,U+ED5E,0,0,0000000000000000
664,symbol,FingerInking,U+ED5F,0,0,0000000000000000
665,symbol,StrokeErase,U+ED60,0,0,0000000000000000
666,symbol,PointErase,U+ED61,0,0,0000000000000000
667,symbol,ClearAllInk,U+ED62,0,0,0000000000000000
668,symbol,Pencil,U+ED63,0,0,0000000000000000
669,symbol,Marker,U+ED64,0,0,0000000000000000
670,symbol,InkingCaret,U+ED65,0,0,0000000000000000
671,symbol,InkingColorOutline,U+ED66,0,0,0000000000000000
672,symbol,InkingColorFill,U+ED67,0,0,0000000000000000
673,symbol,HardDrive,U+EDA2,0,0,0000000000000000
674,symbol,NetworkAdapter,U+EDA3,0,0,0000000000000000
675,symbol,Touchscreen,U+EDA4,0,0,0000000000000000
676,symbol,NetworkPrinter,U+EDA5,0,0,0000000000000000
677,symbol,CloudPrinter,U+EDA6,0,0,0000000000000000
678,symbol,KeyboardShortcut,U+EDA7,0,0,0000000000000000
679,symbol,BrushSize,U+EDA8,0,0,0000000000000000
680,symbol,PenWorkspace,U+EDC6,0,0,0000000000000000
681,symbol,ClearFormatting,U+EDDA,0,0,0000000000000000
682,symbol,Strikethrough,U+EDE0,0,0,0000000000000000
683,symbol,Export,U+EDE1,0,0,0000000000000000
684,symbol,CloudSearch,U+EDE4,0,0,0000000000000000
685,symbol,CalligraphyPen,U+EDFB,0,0,0000000000000000
686,symbol,Play36,U+EE4A,0,0,0000000000000000
687,symbol,PenPalette,U+EE56,0,0,0000000000000000
688,symbol,GuestUser,U+EE57,0,0,0000000000000000
689,symbol,GenericScan,U+EE6F,0,0,0000000000000000
690,symbol,ImageExport,U+EE71,0,0,0000000000000000
691,symbol,CastTo,U+EE77,0,0,0000000000000000
692,symbol,Wheel,U+EE94,0,0,0000000000000000
693,symbol,VirtualMachineGroup,U+EEA3,0,0,0000000000000000
694,symbol,BackgroundToggle,U+EF1F,0,0,0000000000000000
695,symbol,Marquee,U+EF20,0,0,0000000000000000
696,symbol,ChromeCloseContrast,U+EF2C,0,0,0000000000000000
697,symbol,ChromeMinimizeContrast,U+EF2D,256,320,00ffffffff000000
698,symbol,ChromeMaximizeContrast,U+EF2E,0,0,0000000000000000
699,symbol,ChromeRestoreContrast,U+EF2F,0,0,0000000000000000
700,symbol,TrafficLight,U+EF31,0,0,0000000000000000
701,symbol,Replay,U+EF3B,0,0,0000000000000000
702,symbol,Eyedropper,U+EF3C,0,0,0000000000000000
703,symbol,LineDisplay,U+EF3D,0,0,0000000000000000
704,symbol,PINPad,U+EF3E,0,0,0000000000000000
705,symbol,SignatureCapture,U+EF3F,0,0,0000000000000000
706,symbol,ChipCardCreditCardReader,U+EF40,0,0,0000000000000000
707,symbol,LandscapeOrientation,U+EF6B,0,0,0000000000000000
708,symbol,Flow,U+EF90,0,0,0000000000000000
709,symbol,Touchpad,U+EFA5,0,0,0000000000000000
710,symbol,Speech,U+EFA9,0,0,0000000000000000
711,symbol,ButtonA,U+F093,0,0,0000000000000000
712,symbol,ButtonB,U+F094,0,0,0000000000000000
713,symbol,ButtonY,U+F095,0,0,0000000000000000
714,symbol,ButtonX,U+F096,0,0,0000000000000000
715,symbol,ArrowUp8,U+F0AD,0,0,0000000000000000
716,symbol,ArrowDown8,U+F0AE,0,0,0000000000000000
717,symbol,ArrowRight8,U+F0AF,0,0,0000000000000000
718,symbol,ArrowLeft8,U+F0B0,0,0,0000000000000000
719,symbol,Protractor,U+F0B4,0,0,0000000000000000
720,symbol,Connected,U+F0B9,0,0,0000000000000000
721,symbol,PencilFill,U+F0C6,0,0,0000000000000000
722,symbol,CalligraphyFill,U+F0C7,0,0,0000000000000000
723,symbol,QuarterStarLeft,U+F0CA,0,0,0000000000000000
724,symbol,QuarterStarRight,U+F0CB,0,0,0000000000000000
725,symbol,ThreeQuarterStarLeft,U+F0CC,0,0,0000000000000000
726,symbol,ThreeQuarterStarRight,U+F0CD,0,0,0000000000000000
727,symbol,BackMirrored,U+F0D2,0,0,0000000000000000
728,symbol,ForwardMirrored,U+F0D3,0,0,0000000000000000
729,symbol,ChromeBackContrast,U+F0D5,0,0,0000000000000000
730,symbol,GridView,U+F0E2,0,0,0000000000000000
731,symbol,ClipboardList,U+F0E3,0,0,0000000000000000
732,symbol,SpatialVolume0,U+F0EB,0,0,0000000000000000
733,symbol,SpatialVolume1,U+F0EC,0,0,0000000000000000
734,symbol,SpatialVolume2,U+F0ED,0,0,0000000000000000
735,symbol,SpatialVolume3,U+F0EE,0,0,0000000000000000
736,symbol,ApplicationGuard,U+F0EF,0,0,0000000000000000
737,symbol,LeftStick,U+F108,0,0,0000000000000000
738,symbol,RightStick,U+F109,0,0,0000000000000000
